city,country,Temperature,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind_speed
Forville,FR,0.32,2.09,-2.85,82,1033,Clouds,08:02 AM,05:27 PM,0.37
La Portanière,FR,8.22,9.75,5.88,79,1028,Clear,07:59 AM,05:34 PM,0.0
Wittenheim,FR,2.58,3.99,1.4,89,1033,Clouds,08:08 AM,05:16 PM,1.88
Wattrelos,FR,4.35,5.05,3.58,82,1034,Clouds,08:34 AM,05:22 PM,2.57
Vitré,FR,3.28,3.75,2.49,94,1031,Clear,08:43 AM,05:49 PM,3.59
Viry-Châtillon,FR,4.67,5.32,3.34,84,1033,Clouds,08:31 AM,05:33 PM,3.6
Villeneuve-le-Roi,FR,4.76,5.3,3.52,84,1033,Clouds,08:31 AM,05:32 PM,3.6
Vierzon,FR,2.97,3.97,2.17,90,1030,Clear,08:27 AM,05:39 PM,3.43
Verrières-le-Buisson,FR,4.22,4.91,2.92,84,1033,Clouds,08:31 AM,05:33 PM,3.6
Arrondissement d'Antony,FR,4.48,5.19,3.21,84,1033,Clouds,08:31 AM,05:33 PM,3.6
Vallauris,FR,7.84,9.57,6.89,79,1028,Clear,07:56 AM,05:29 PM,1.03
Tourcoing,FR,4.34,5.34,3.52,82,1034,Clouds,08:35 AM,05:22 PM,2.57
Taverny,FR,4.17,5.0,3.01,82,1029,Clouds,08:32 AM,05:32 PM,2.57
Soisy-sous-Montmorency,FR,4.54,5.29,3.3,81,1029,Clouds,08:32 AM,05:32 PM,3.09
Sin-le-Noble,FR,4.23,4.9,3.6,83,1034,Clouds,08:34 AM,05:24 PM,2.39
Sèvres,FR,4.1,4.84,2.86,83,1032,Clouds,08:32 AM,05:33 PM,3.6
Salon-de-Provence,FR,7.5,9.82,4.71,61,1028,Clear,08:04 AM,05:37 PM,0.0
Saint-Ouen-sur-Seine,FR,4.44,5.26,3.27,81,1033,Clouds,08:32 AM,05:32 PM,0.89
Saint-Fons,FR,1.47,3.17,0.04,90,1031,Clouds,08:11 AM,05:32 PM,2.06
Saint-Avold,FR,4.45,5.88,2.49,79,1033,Clouds,08:15 AM,05:14 PM,3.67
Rezé,FR,3.82,4.14,2.98,88,1029,Clouds,08:42 AM,05:53 PM,5.14
Pontivy,FR,3.4,3.75,2.77,93,1030,Clear,08:50 AM,05:56 PM,3.16
Pessac,FR,6.85,7.93,4.73,72,1028,Clear,08:30 AM,05:57 PM,2.06
Palaiseau,FR,4.23,5.02,3.03,84,1033,Clouds,08:31 AM,05:33 PM,0.89
Ozoir-la-Ferrière,FR,4.4,4.91,3.11,85,1033,Clouds,08:30 AM,05:31 PM,1.54
Oullins,FR,1.49,2.28,0.2,90,1031,Clouds,08:12 AM,05:32 PM,2.06
Mougins,FR,7.79,9.55,6.87,79,1028,Clear,07:57 AM,05:30 PM,1.03
Morsang-sur-Orge,FR,4.67,5.28,3.51,84,1033,Clouds,08:31 AM,05:33 PM,0.45
Montélimar,FR,4.03,4.94,3.54,66,1030,Clear,08:08 AM,05:36 PM,2.81
Montbéliard,FR,2.36,4.58,1.53,92,1032,Clear,08:09 AM,05:19 PM,3.68
Maisons-Alfort,FR,4.78,5.34,3.56,82,1033,Clouds,08:31 AM,05:32 PM,3.6
Louviers,FR,3.32,3.91,2.8,88,1032,Clouds,08:37 AM,05:36 PM,4.63
Limeil-Brévannes,FR,4.66,5.17,3.39,82,1033,Clouds,08:30 AM,05:32 PM,3.6
Les Pavillons-sous-Bois,FR,4.38,5.1,3.11,83,1033,Clouds,08:31 AM,05:31 PM,0.89
Lattes,FR,7.1,8.36,5.55,64,1027,Clear,08:09 AM,05:42 PM,0.45
Grigny,FR,4.43,5.08,3.09,84,1033,Clouds,08:30 AM,05:33 PM,3.6
Goussainville,FR,4.16,4.97,2.99,82,1033,Clouds,08:31 AM,05:31 PM,3.6
Gien,FR,3.74,4.18,2.99,91,1031,Clear,08:26 AM,05:35 PM,3.32
