city,country,Temperature,temp_max,temp_min,humidity,pressure,sky,sunrise,sunset,wind_speed
Forville,FR,-0.13,3.43,-5.7,68,1034,Clear,07:03 AM,04:26 PM,0.89
La Portanière,FR,0.93,6.14,-1.12,82,1028,Clear,07:00 AM,04:33 PM,1.03
Wittenheim,FR,0.02,2.95,-1.99,91,1036,Clouds,07:09 AM,04:14 PM,1.34
Wattrelos,FR,4.68,5.38,3.88,87,1036,Clouds,07:36 AM,04:20 PM,2.06
Vitré,FR,4.28,4.75,4.16,94,1036,Clear,07:44 AM,04:47 PM,2.74
Viry-Châtillon,FR,4.74,5.43,3.55,90,1037,Clouds,07:32 AM,04:31 PM,2.57
Villeneuve-le-Roi,FR,4.76,5.41,3.52,89,1036,Clouds,07:32 AM,04:31 PM,2.57
Vierzon,FR,4.14,4.88,2.72,95,1036,Clear,07:28 AM,04:37 PM,2.86
Verrières-le-Buisson,FR,4.31,5.02,3.14,89,1036,Clouds,07:32 AM,04:31 PM,2.57
Arrondissement d'Antony,FR,4.61,5.31,3.42,89,1036,Clouds,07:32 AM,04:31 PM,2.57
Vallauris,FR,5.32,9.25,1.89,73,1027,Clear,06:57 AM,04:28 PM,1.54
Tourcoing,FR,4.59,5.32,3.82,87,1036,Clouds,07:36 AM,04:21 PM,2.57
Taverny,FR,4.32,5.11,3.23,88,1032,Clouds,07:33 AM,04:31 PM,1.54
Soisy-sous-Montmorency,FR,4.66,5.4,3.51,86,1032,Clouds,07:33 AM,04:30 PM,2.06
Sin-le-Noble,FR,4.52,5.31,3.6,83,1036,Clouds,07:35 AM,04:22 PM,1.47
Sèvres,FR,4.24,4.96,3.07,88,1036,Clouds,07:33 AM,04:31 PM,1.54
Salon-de-Provence,FR,0.4,4.93,-1.13,77,1029,Clear,07:05 AM,04:36 PM,0.0
Saint-Ouen-sur-Seine,FR,4.66,5.37,3.49,87,1037,Clouds,07:33 AM,04:31 PM,0.89
Saint-Fons,FR,2.27,2.9,1.04,84,1034,Clouds,07:12 AM,04:31 PM,4.12
Saint-Avold,FR,3.58,4.69,2.86,98,1036,Clouds,07:16 AM,04:12 PM,1.29
Rezé,FR,5.14,5.18,3.54,85,1035,Clouds,07:42 AM,04:52 PM,4.63
Pontivy,FR,4.81,6.33,4.16,93,1036,Clear,07:51 AM,04:55 PM,2.56
Pessac,FR,2.28,2.71,1.93,87,1033,Clear,07:31 AM,04:55 PM,1.79
Palaiseau,FR,4.42,5.14,3.25,89,1036,Clouds,07:32 AM,04:31 PM,1.54
Ozoir-la-Ferrière,FR,4.23,4.99,3.11,89,1037,Clouds,07:31 AM,04:30 PM,1.54
